case	Errors	Rolling_Force	Forward_Slip	Rolling_Torque	Sigma_Moy	Sigma_Ini	Sigma_Out	Sigma_Max	Neutral_X	U_Forward_Slip	Contact_Length	Neutral_H	angle_Tresca_Bw	Neutral_Angle	angle_Tresca_Fw	U_Rolling_Force	Tresca_Presence	Total_Tresca	Alpha_Max	Has_Converged
1	VOID	1.821503e+03	6.730511e+00	1.055928e+05	2.000000e+02	2.000000e+02	2.000000e+02	2.000000e+02	-1.821058e+01	5.151183e+00	6.592386e+01	1.884806e+01	5.114407e-02	5.114407e-02	5.114407e-02	1.785498e+03	0	0	1.861383e-01	YES
1	VOID	1.430306e+03	6.924224e+00	6.068869e+04	2.000000e+02	2.000000e+02	2.000000e+02	2.000000e+02	-1.617333e+01	6.163325e+00	4.814116e+01	1.230138e+01	9.880927e-04	4.410972e-02	4.410972e-02	1.388666e+03	0	0	1.316332e-01	YES
1	VOID	1.236956e+03	7.377518e+00	4.059136e+04	2.000000e+02	2.000000e+02	2.000000e+02	2.000000e+02	-1.443848e+01	7.020545e+00	3.848403e+01	8.295564e+00	1.804588e-02	3.738348e-02	3.738348e-02	1.190366e+03	0	0	9.978347e-02	YES
1	VOID	9.838985e+02	7.218703e+00	2.445073e+04	2.000000e+02	2.000000e+02	2.000000e+02	2.000000e+02	-1.175459e+01	7.089089e+00	2.953588e+01	5.759573e+00	2.129832e-02	3.202035e-02	3.202035e-02	9.413415e+02	0	0	8.053116e-02	YES
1	VOID	8.477710e+02	6.757138e+00	1.701633e+04	2.000000e+02	2.000000e+02	2.000000e+02	2.000000e+02	-1.019713e+01	6.763704e+00	2.421718e+01	4.181414e+00	2.145618e-02	2.547572e-02	2.547572e-02	8.066474e+02	0	0	6.053272e-02	YES
1	VOID	6.041845e+02	3.483524e+00	1.273920e+04	2.000000e+02	2.000000e+02	2.000000e+02	2.000000e+02	-6.929265e+00	3.550853e+00	1.715224e+01	3.357407e+00	1.230162e-02	1.596926e-02	1.596926e-02	5.730128e+02	0	0	3.953784e-02	YES
2	VOID	1.902475e+03	6.646706e+00	1.179855e+05	2.000000e+02	2.000000e+02	2.000000e+02	2.000000e+02	-1.793392e+01	4.878427e+00	6.992445e+01	1.959861e+01	5.133784e-02	5.133784e-02	5.133784e-02	1.866120e+03	0	0	2.014382e-01	YES
2	VOID	1.449899e+03	6.880603e+00	6.229684e+04	2.000000e+02	2.000000e+02	2.000000e+02	2.000000e+02	-1.648860e+01	6.071386e+00	4.923180e+01	1.284971e+01	4.458965e-02	4.458965e-02	4.458965e-02	1.409233e+03	0	0	1.334881e-01	YES
2	VOID	1.219996e+03	7.076199e+00	4.057364e+04	2.000000e+02	2.000000e+02	2.000000e+02	2.000000e+02	-1.450242e+01	6.682957e+00	3.873752e+01	8.771687e+00	1.490848e-02	3.760202e-02	3.760202e-02	1.175990e+03	0	0	1.005849e-01	YES
2	VOID	1.052519e+03	7.668531e+00	2.801660e+04	2.000000e+02	2.000000e+02	2.000000e+02	2.000000e+02	-1.234373e+01	7.515521e+00	3.152126e+01	5.957600e+00	2.283393e-02	3.333918e-02	3.333918e-02	1.007122e+03	0	0	8.522315e-02	YES
2	VOID	7.894272e+02	6.334640e+00	1.523431e+04	2.000000e+02	2.000000e+02	2.000000e+02	2.000000e+02	-1.003459e+01	6.328478e+00	2.359333e+01	4.388902e+00	1.890375e-02	2.555096e-02	2.555096e-02	7.520897e+02	0	0	6.010504e-02	YES
2	VOID	6.701279e+02	3.822837e+00	1.540182e+04	2.000000e+02	2.000000e+02	2.000000e+02	2.000000e+02	-7.470796e+00	3.879208e+00	1.878202e+01	3.471490e+00	1.379396e-02	1.671016e-02	1.671016e-02	6.359019e+02	0	0	4.202075e-02	YES
3	VOID	1.888399e+03	6.607567e+00	1.163324e+05	2.000000e+02	2.000000e+02	2.000000e+02	2.000000e+02	-1.794600e+01	4.845121e+00	6.942309e+01	1.973494e+01	5.132956e-02	5.132956e-02	5.132956e-02	1.853116e+03	0	0	1.998051e-01	YES
3	VOID	1.486263e+03	7.077757e+00	6.599043e+04	2.000000e+02	2.000000e+02	2.000000e+02	2.000000e+02	-1.639044e+01	6.260638e+00	5.022195e+01	1.258295e+01	3.042054e-04	4.522252e-02	4.522252e-02	1.443001e+03	0	0	1.389659e-01	YES
3	VOID	1.253308e+03	7.438872e+00	4.183947e+04	2.000000e+02	2.000000e+02	2.000000e+02	2.000000e+02	-1.458656e+01	7.067277e+00	3.910921e+01	8.427683e+00	1.791938e-02	3.784187e-02	3.784187e-02	1.206367e+03	0	0	1.016114e-01	YES
3	VOID	1.122995e+03	8.330590e+00	3.056844e+04	2.000000e+02	2.000000e+02	2.000000e+02	2.000000e+02	-1.249124e+01	8.203766e+00	3.219340e+01	5.539043e+00	2.688325e-02	3.319300e-02	3.319300e-02	1.072448e+03	0	0	8.563653e-02	YES
3	VOID	8.463977e+02	6.809519e+00	1.653248e+04	2.000000e+02	2.000000e+02	2.000000e+02	2.000000e+02	-1.004985e+01	6.831696e+00	2.374195e+01	3.984421e+00	2.191341e-02	2.483860e-02	2.483860e-02	8.046420e+02	0	0	5.870687e-02	YES
3	VOID	5.787985e+02	3.251081e+00	1.189040e+04	2.000000e+02	2.000000e+02	2.000000e+02	2.000000e+02	-6.690161e+00	3.328667e+00	1.640823e+01	3.236768e+00	1.149364e-02	1.493343e-02	1.493343e-02	5.485286e+02	0	0	3.663244e-02	YES
4	VOID	1.895601e+03	7.616784e+00	1.081395e+05	2.000000e+02	2.000000e+02	2.000000e+02	2.000000e+02	-1.817996e+01	6.292245e+00	6.570485e+01	1.545099e+01	5.054846e-02	5.054846e-02	5.054846e-02	1.843675e+03	0	0	1.836417e-01	YES
4	VOID	1.536353e+03	8.554523e+00	6.234918e+04	2.000000e+02	2.000000e+02	2.000000e+02	2.000000e+02	-1.583080e+01	8.027503e+00	4.705406e+01	9.195848e+00	2.258276e-02	4.295341e-02	4.295341e-02	1.478126e+03	0	0	1.279807e-01	YES
4	VOID	1.364718e+03	9.481409e+00	4.120952e+04	2.000000e+02	2.000000e+02	2.000000e+02	2.000000e+02	-1.362182e+01	9.326371e+00	3.620038e+01	5.638955e+00	3.353471e-02	3.485698e-02	3.485698e-02	1.301965e+03	0	0	9.274763e-02	YES
4	VOID	1.113264e+03	9.112531e+00	2.350722e+04	2.000000e+02	2.000000e+02	2.000000e+02	2.000000e+02	-1.080191e+01	9.146554e+00	2.665863e+01	3.644099e+00	3.171835e-02	2.769611e-02	2.408992e-02	1.056350e+03	1	0	6.839736e-02	YES
4	VOID	8.483024e+02	7.284006e+00	1.250323e+04	2.000000e+02	2.000000e+02	2.000000e+02	2.000000e+02	-8.489880e+00	7.411772e+00	1.956510e+01	2.597776e+00	2.428860e-02	2.048674e-02	1.700468e-02	8.015272e+02	1	0	4.722635e-02	YES
4	VOID	6.034938e+02	3.858943e+00	8.108328e+03	2.000000e+02	2.000000e+02	2.000000e+02	2.000000e+02	-6.102342e+00	4.024070e+00	1.406979e+01	2.094720e+00	1.437666e-02	1.257544e-02	1.086096e-02	5.678642e+02	1	0	2.899772e-02	YES
5	VOID	1.808117e+03	6.647361e+00	1.047104e+05	2.000000e+02	2.000000e+02	2.000000e+02	2.000000e+02	-1.792631e+01	5.057279e+00	6.560929e+01	1.885433e+01	5.108124e-02	5.108124e-02	5.108124e-02	1.772939e+03	0	0	1.879783e-01	YES
5	VOID	1.545353e+03	7.596033e+00	6.878187e+04	2.000000e+02	2.000000e+02	2.000000e+02	2.000000e+02	-1.676339e+01	6.845066e+00	5.089089e+01	1.175024e+01	8.196178e-03	4.483933e-02	4.483933e-02	1.495993e+03	0	0	1.365027e-01	YES
